"XCoord;YCoord;FID;NOMDIS;NOMBRE;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA_M2"
"441057,64451518;4472774,28579611;41;Arganzuela;Palos de Moguer;2;02;PALOS DE MOGUER;26;026;6;PALOS DE MOGUER;2-6;648442,306208"
"445115,96376570;4472512,70252005;42;Moratalaz;Fontarrón;14;14;FONTARRON;145;145;5;FONTARRÓN;14-5;964573,887451"
"442131,23455010;4472353,00681300;43;Arganzuela;Atocha;2;02;ATOCHA;27;027;7;ATOCHA;2-7;735680,599505"
"437550,37874912;4472579,68971791;44;Latina;Cármenes;10;10;CARMENES;101;101;1;CÁRMENES;10-1;1291998,544330"
"445482,81276343;4472936,19123079;45;Moratalaz;Vinateros;14;14;VINATEROS;146;146;6;VINATEROS;14-6;593977,281580"
"436327,88712541;4472679,64527647;46;Latina;Lucero;10;10;LUCERO;103;103;3;LUCERO;10-3;1678995,602710"
"446804,38554583;4473295,29824683;47;Moratalaz;Horcajo;14;14;HORCAJO;142;142;2;HORCAJO;14-2;745946,321934"
"439045,61992843;4473089,61610900;48;Arganzuela;Imperial;2;02;IMPERIAL;21;021;1;IMPERIAL;2-1;967678,601989"
"440397,17636736;4473417,21138143;49;Centro;Embajadores;1;01;EMBAJADORES;12;012;2;EMBAJADORES;1-2;1033724,698330"
"445646,46715540;4473543,37559052;50;Moratalaz;Marroquina;14;14;MARROQUINA;143;143;3;MARROQUINA;14-3;1790050,431190"
"442862,90496165;4473660,90687197;51;Retiro;Niño Jesús;3;03;NIÑO JESUS;36;036;6;NIÑO JESÚS;3-6;643280,623212"
"437907,98254518;4473487,25807919;52;Latina;Puerta del Ángel;10;10;PUERTA DEL ANGEL;102;102;2;PUERTA DEL ÁNGEL;10-2;1375298,048530"
"444272,18898698;4473682,21749403;53;Moratalaz;Media Legua;14;14;MEDIA LEGUA;144;144;4;MEDIA LEGUA;14-4;998967,710321"
